State,Year,HLp,EIr,PerTscr,Dr,state_per_capita_fund,drinks_per_capita,Health_care_expenditure,age_under5,Total_population,uninsured_under18_rate,Median_household_income,under18_poverty_rate,F_income_below_poverty_rate,Per_rep_women_uninsured,Per_women_breastfed,EI,TDia,EIrd
Arkansas,2010,0.8161044613710555,0.40805223068552776,97.91699962708434,1.7682263329706205,36,396.29001,6378,194451,2921606,65.54370473121372,38307,276.06544438614077,140.85696535546214,0.2673,0.63,15,65,230.76923076923077
California,2010,1.8286161625946185,1.5992978113935636,98.99526596879336,3.9774872639355374,66,473.47,6480,2528898,37349363,89.65224486421177,57708,219.7701579690317,117.92689015893076,0.2352,0.886,809,2012,402.0874751491054
Connecticut,2010,1.7775454188994904,1.176316821330545,99.26308414852488,11.240360737158545,24,508.73001,8831,201685,3577073,29.587367026171457,64032,128.43476566717254,71.50555137689864,0.1128,0.802,45,430,104.65116279069768
Florida,2010,0.8804648080151324,0.5611753721415129,96.08919589814153,1.872197146713496,22,552.79999,7269,1067986,18843326,127.0432632365866,44409,234.7125874999873,120.42471576258578,0.2933,0.725,116,387,299.74160206718346
Georgia,2010,1.6771999908516364,1.4637381738341555,99.35541046189272,5.1230836084195435,13,441.03,5551,682314,9712587,97.9038880447269,46430,248.47581628505623,136.5818248267266,0.2642,0.723,192,672,285.7142857142857
Hawaii,2010,3.2878779712175925,2.533283027003719,97.95670538542768,8.947340052821646,171,546.63,6440,86693,1363621,36.60661066123078,63030,138.5542371115659,73.65833539552915,0.0934,0.878,47,166,283.13253012048193
Idaho,2010,1.941568047337278,1.386834319526627,99.45289871730036,28.753698224852073,77,480.32001,5909,120708,1571450,105.0768627304481,43490,189.72298403384568,115.82206338382204,0.25,0.906,30,622,48.23151125401929
Indiana,2010,1.6202752049527218,1.1245193586612172,97.45813643809144,19.62467654953931,13,449.47,6859,433315,6490621,89.0408907084727,44613,217.04383921203214,109.81256784348575,0.2064,0.688,93,1623,57.30129390018484
Iowa,2010,1.6548463356973997,1.12949829261886,98.6243879692236,5.778828473863935,20,517.39001,7095,199665,3049883,40.2431826557785,47961,162.56147223357334,82.42080809506052,0.1312,0.718,43,220,195.45454545454547
Kansas,2010,1.7313694888802185,0.9998049161139292,98.56744543793866,6.413382754584472,15,437.23999,6803,205100,2859169,82.40963722556197,48257,183.67421189324736,94.67538442776527,0.1948,0.794,41,263,155.893536121673
